strategy,aggregation,attack,byzantine_pct,final_accuracy,rounds_completed,simulation_completed,mean_selection_time_ms,mean_selector_state_bytes,mean_peak_mem_bytes
adaptive_mab,bulyan,sign_flip,0.1,0.5265,60,True,1.3958766666666667,8136.0,6945.283333333334
adaptive_mab,fedavg,sign_flip,0.1,0.5547,60,True,2.1346483333333333,8136.0,6976.483333333334
adaptive_mab,fltrust,sign_flip,0.1,0.4418,60,True,0.9751766666666666,8136.0,6989.016666666666
adaptive_mab,krum,sign_flip,0.1,0.3621,60,True,1.5179216666666666,8136.0,6952.15
adaptive_mab,trimmed_mean,sign_flip,0.1,0.569,60,True,1.3171916666666665,8136.533333333334,6953.016666666666
cyclic,bulyan,sign_flip,0.1,0.5792,60,True,0.021468333333333332,2848.0,314.4
cyclic,fedavg,sign_flip,0.1,0.597,60,True,0.010838333333333333,2848.0,314.4
cyclic,fltrust,sign_flip,0.1,0.6001,60,True,0.055975,2848.0,314.4
cyclic,krum,sign_flip,0.1,0.3674,60,True,0.016186666666666665,2848.0,314.4
cyclic,trimmed_mean,sign_flip,0.1,0.5838,60,True,0.02158,2848.0,314.4
random,bulyan,sign_flip,0.1,0.5279,60,True,0.09053833333333333,344.0,1456.0
random,fedavg,sign_flip,0.1,0.5695,60,True,0.09175333333333334,344.0,1456.0
random,fltrust,sign_flip,0.1,0.5824,60,True,0.161015,344.0,1456.0
random,krum,sign_flip,0.1,0.3501,60,True,0.18457166666666666,344.0,1456.0
random,trimmed_mean,sign_flip,0.1,0.5644,60,True,0.14064,344.0,1456.0
reputation,bulyan,sign_flip,0.1,0.5634,60,True,2.6872249999999998,5957.6,9391.333333333334
reputation,fedavg,sign_flip,0.1,0.5703,60,True,1.8635833333333334,5944.0,9253.933333333332
reputation,fltrust,sign_flip,0.1,0.5707,60,True,1.5332416666666666,5933.2,9249.683333333332
reputation,krum,sign_flip,0.1,0.3273,60,True,2.0561933333333333,5951.2,9282.8
reputation,trimmed_mean,sign_flip,0.1,0.589,60,True,2.2779133333333332,5952.0,9254.866666666667
adaptive_mab,bulyan,sign_flip,0.2,0.5213,60,True,1.2447783333333333,8136.0,6988.883333333333
adaptive_mab,fedavg,sign_flip,0.2,0.5603,60,True,1.3315083333333333,8136.0,6966.55
adaptive_mab,fltrust,sign_flip,0.2,0.5224,60,True,0.8328866666666667,8136.0,7054.083333333333
adaptive_mab,krum,sign_flip,0.2,0.3206,60,True,1.563305,8136.0,6951.283333333334
adaptive_mab,trimmed_mean,sign_flip,0.2,0.5227,60,True,1.4111116666666668,8136.0,6950.083333333333
cyclic,bulyan,sign_flip,0.2,0.5546,60,True,0.016326666666666666,2848.0,314.4
cyclic,fedavg,sign_flip,0.2,0.5504,60,True,0.01382,2848.0,314.4
cyclic,fltrust,sign_flip,0.2,0.5793,60,True,0.06645333333333334,2848.0,314.4
cyclic,krum,sign_flip,0.2,0.2705,60,True,0.011063333333333333,2848.0,314.4
cyclic,trimmed_mean,sign_flip,0.2,0.5542,60,True,0.013165000000000001,2848.0,314.4
random,bulyan,sign_flip,0.2,0.456,60,True,0.09752833333333334,344.0,1456.0
random,fedavg,sign_flip,0.2,0.5233,60,True,0.11609166666666666,344.0,1456.0
random,fltrust,sign_flip,0.2,0.5453,60,True,0.10118333333333333,344.0,1456.0
random,krum,sign_flip,0.2,0.1546,60,True,0.09359666666666668,344.0,1456.0
random,trimmed_mean,sign_flip,0.2,0.4425,60,True,0.08567166666666666,344.0,1456.0
reputation,bulyan,sign_flip,0.2,0.5393,60,True,2.7253600000000002,5949.6,9278.25
reputation,fedavg,sign_flip,0.2,0.5864,60,True,2.1640466666666667,5948.8,9316.8
reputation,fltrust,sign_flip,0.2,0.5615,60,True,4.163873333333333,5956.4,9308.416666666666
reputation,krum,sign_flip,0.2,0.2871,60,True,2.24145,5949.6,9351.916666666666
reputation,trimmed_mean,sign_flip,0.2,0.5497,60,True,2.008085,5956.8,9295.55
adaptive_mab,bulyan,sign_flip,0.4,0.1,60,True,1.3086433333333334,8136.0,7240.733333333334
adaptive_mab,fedavg,sign_flip,0.4,0.4513,60,True,2.041043333333333,8136.0,6938.083333333333
adaptive_mab,fltrust,sign_flip,0.4,0.5346,60,True,0.782935,8136.0,7030.616666666667
adaptive_mab,krum,sign_flip,0.4,0.2365,60,True,2.139946666666667,8136.0,6988.216666666666
adaptive_mab,trimmed_mean,sign_flip,0.4,0.1,60,True,1.4511566666666667,8136.0,6888.083333333333
cyclic,bulyan,sign_flip,0.4,0.424,60,True,0.024643333333333333,2848.0,314.4
cyclic,fedavg,sign_flip,0.4,0.2789,60,True,0.012568333333333332,2848.0,314.4
cyclic,fltrust,sign_flip,0.4,0.576,60,True,0.08158,2848.0,314.4
cyclic,krum,sign_flip,0.4,0.1,60,True,0.012203333333333333,2848.0,314.4
cyclic,trimmed_mean,sign_flip,0.4,0.327,60,True,0.01104,2848.0,314.4
random,bulyan,sign_flip,0.4,0.3729,60,True,0.08095666666666666,344.0,1456.0
random,fedavg,sign_flip,0.4,0.1068,60,True,0.131635,344.0,1456.0
random,fltrust,sign_flip,0.4,0.487,60,True,0.10620833333333334,344.0,1456.0
random,krum,sign_flip,0.4,0.1,60,True,0.18471500000000002,344.0,1456.0
random,trimmed_mean,sign_flip,0.4,0.3021,60,True,0.17315833333333333,344.0,1456.0
reputation,bulyan,sign_flip,0.4,0.1,60,True,4.261588333333333,5955.2,9315.55
reputation,fedavg,sign_flip,0.4,0.3101,60,True,2.4445283333333334,5958.4,9252.416666666666
reputation,fltrust,sign_flip,0.4,0.5407,60,True,2.424338333333333,5945.2,9328.8
reputation,krum,sign_flip,0.4,0.1,60,True,1.39551,5938.4,9125.016666666666
reputation,trimmed_mean,sign_flip,0.4,0.3187,60,True,1.9139433333333333,5946.8,9321.4
